"Pais";"Year";"valor_final";"valor_balanceado";"diferencia_pct";"indice_2005_final";"indice_2005_balanceado";"tasa_var_final";"tasa_var_balanceado"
"Uruguay";"2009";"2319,66";"2952,66";"27,29";"176,90";"171,45";"1,88";"-2,58"
"Uruguay";"2010";"2688,16";"3445,69";"28,18";"205,00";"200,08";"15,89";"16,70"
"Uruguay";"2011";"3641,91";"4223,79";"15,98";"277,74";"245,26";"35,48";"22,58"
"Uruguay";"2012";"5224,12";"4910,63";"-6,00";"398,40";"285,14";"43,44";"16,26"
"Uruguay";"2013";"5118,97";"4812,87";"-5,98";"390,38";"279,46";"-2,01";"-1,99"
"Uruguay";"2014";"4965,05";"4796,75";"-3,39";"378,64";"278,53";"-3,01";"-0,33"
"Uruguay";"2015";"5193,80";"4828,35";"-7,04";"396,09";"280,36";"4,61";"0,66"
"Uruguay";"2016";"4900,84";"4569,13";"-6,77";"373,74";"265,31";"-5,64";"-5,37"
"Uruguay";"2017";"5723,30";"5014,92";"-12,38";"436,47";"291,19";"16,78";"9,76"
"Uruguay";"2018";"5472,63";"5032,67";"-8,04";"417,35";"292,22";"-4,38";"0,35"
"Uruguay";"2019";"5523,82";"4689,73";"-15,10";"421,25";"272,31";"0,94";"-6,81"
"Uruguay";"2020";"3914,92";"3672,80";"-6,18";"298,56";"213,26";"-29,13";"-21,68"
"Uruguay";"2021";"4050,08";"3739,56";"-7,67";"308,86";"217,14";"3,45";"1,82"
"Uruguay";"2022";"5909,13";"5660,86";"-4,20";"450,64";"328,70";"45,90";"51,38"
"Uruguay";"2023";"6881,67";"6424,31";"-6,65";"524,80";"373,03";"16,46";"13,49"
"Uruguay";"2024";"6948,32";"6557,33";"-5,63";"529,89";"380,75";"0,97";"2,07"
