"medida";"n";"media";"mediana";"desvio";"minimo";"maximo";"valores_cero";"valores_positivos"
"final";"960";"1218,60";"228,36";"2622,02";"0,00";"21690,94";"150";"810"
"balanceado";"960";"1220,56";"242,98";"2275,81";"1,45";"15106,19";"0";"960"
