"Pais";"Year";"Final_value";"Balanced_value";"Reported_value";"origen";"diferencia_pct"
"Uruguay";"2013";"5118,97";"4812,87";"5118,97";"Informado por fuente oficial";"-5,98"
"Uruguay";"2014";"4965,05";"4796,75";"4965,05";"Informado por fuente oficial";"-3,39"
"Uruguay";"2015";"5193,80";"4828,35";"5193,80";"Informado por fuente oficial";"-7,04"
"Uruguay";"2016";"4900,84";"4569,13";"4900,84";"Informado por fuente oficial";"-6,77"
"Uruguay";"2017";"5723,30";"5014,92";"5723,30";"Informado por fuente oficial";"-12,38"
"Uruguay";"2018";"5472,63";"5032,67";"5472,63";"Informado por fuente oficial";"-8,04"
"Uruguay";"2019";"5523,82";"4689,73";"5523,82";"Informado por fuente oficial";"-15,10"
"Uruguay";"2020";"3914,92";"3672,80";"3914,92";"Informado por fuente oficial";"-6,18"
"Uruguay";"2021";"4050,08";"3739,56";"4050,08";"Informado por fuente oficial";"-7,67"
"Uruguay";"2022";"5909,13";"5660,86";"5909,13";"Informado por fuente oficial";"-4,20"
"Uruguay";"2023";"6881,67";"6424,31";"6881,67";"Informado por fuente oficial";"-6,65"
"Uruguay";"2024";"6948,32";"6557,33";"6948,32";"Informado por fuente oficial";"-5,63"
