Reporter,type_Reporter,Partner,type_Partner,Flow,Item_code,type_Item,Year,Reported_value,Final_value,Final_value_methodology,Balanced_value
AR,c,WL,g,X,SA,s,2010,3.8647,3.8647,R_IMF,15.08561
AR,c,WL,g,X,SB,s,2010,120.025201,120.025201,R_IMF,125.056442
AR,c,WL,g,X,SC,s,2010,1977.060515,1977.060515,R_IMF,2052.497203
AR,c,WL,g,X,SD,s,2010,4989.210439,4989.210439,R_IMF,4200.77314
AR,c,WL,g,X,SE,s,2010,14.7073,14.7073,R_IMF,34.797451
AR,c,WL,g,X,SF,s,2010,21.2353,21.2353,R_IMF,124.670559
AR,c,WL,g,X,SG,s,2010,170.479801,170.479801,R_IMF,159.286417
AR,c,WL,g,X,SH,s,2010,152.187801,152.187801,R_IMF,163.686922
AR,c,WL,g,X,SI,s,2010,1410.136211,1410.136211,R_IMF,752.229188
AR,c,WL,g,X,SJ,s,2010,3464.537527,3464.537527,R_IMF,2236.516978
AR,c,WL,g,X,SK,s,2010,307.971502,307.971502,R_IMF,385.694098
AR,c,WL,g,X,SL,s,2010,185.727101,185.727101,R_IMF,191.905927
AR,c,WL,g,X,S,s,2011,14496.9814,14496.9814,R_IMF,11836.914606
AR,c,WL,g,X,SA,s,2011,4.8057,4.8057,R_IMF,20.852091
AR,c,WL,g,X,SB,s,2011,139.0207,139.0207,R_IMF,135.853608
AR,c,WL,g,X,SC,s,2011,2146.423,2146.423,R_IMF,2287.983438
AR,c,WL,g,X,SD,s,2011,5430.9529,5430.9529,R_IMF,4692.800077
AR,c,WL,g,X,SE,s,2011,9.1471,9.1471,R_IMF,38.462599
AR,c,WL,g,X,SF,s,2011,28.8723,28.8723,R_IMF,115.003559
AR,c,WL,g,X,SG,s,2011,101.3493,101.3493,R_IMF,154.133944
AR,c,WL,g,X,SH,s,2011,155.3964,155.3964,R_IMF,180.193802
AR,c,WL,g,X,SI,s,2011,1800.8826,1800.8826,R_IMF,908.48561
AR,c,WL,g,X,SJ,s,2011,4129.4365,4129.4365,R_IMF,2642.851067
AR,c,WL,g,X,SK,s,2011,349.4601,349.4601,R_IMF,445.109158
AR,c,WL,g,X,SL,s,2011,201.2348,201.2348,R_IMF,215.185654
AR,c,WL,g,X,S,s,2012,14247.1009,14247.1009,R_IMF,12050.550281
AR,c,WL,g,X,SA,s,2012,4.2497,4.2497,R_IMF,29.892924
AR,c,WL,g,X,SB,s,2012,142.8924,142.8924,R_IMF,151.092031
AR,c,WL,g,X,SC,s,2012,2304.1065,2304.1065,R_IMF,2322.014344
AR,c,WL,g,X,SD,s,2012,5013.7288,5013.7288,R_IMF,4323.536002
AR,c,WL,g,X,SE,s,2012,14.3825,14.3825,R_IMF,46.043212
AR,c,WL,g,X,SF,s,2012,25.3749,25.3749,R_IMF,87.043241
AR,c,WL,g,X,SG,s,2012,100.9546,100.9546,R_IMF,137.768659
AR,c,WL,g,X,SH,s,2012,158.1521,158.1521,R_IMF,226.33931
AR,c,WL,g,X,SI,s,2012,1754.2176,1754.2176,R_IMF,826.077166
AR,c,WL,g,X,SJ,s,2012,4259.6151,4259.6151,R_IMF,2754.228375
AR,c,WL,g,X,SK,s,2012,270.0119,270.0119,R_IMF,934.966186
AR,c,WL,g,X,SL,s,2012,199.4148,199.4148,R_IMF,211.548832
AR,c,WL,g,X,S,s,2013,13679.8918,13679.8918,R_IMF,11729.548923
AR,c,WL,g,X,SA,s,2013,3.1218,3.1218,R_IMF,17.891318
AR,c,WL,g,X,SB,s,2013,126.814601,126.814601,R_IMF,147.932298
AR,c,WL,g,X,SC,s,2013,2511.346418,2511.346418,R_IMF,2287.664817
AR,c,WL,g,X,SD,s,2013,4524.642233,4524.642233,R_IMF,4165.854047
AR,c,WL,g,X,SE,s,2013,1.8868,1.8868,R_IMF,41.715491
AR,c,WL,g,X,SF,s,2013,24.7945,24.7945,R_IMF,73.732023
AR,c,WL,g,X,SG,s,2013,81.179901,81.179901,R_IMF,104.400575
AR,c,WL,g,X,SH,s,2013,179.902401,179.902401,R_IMF,213.665108
AR,c,WL,g,X,SI,s,2013,1730.267613,1730.267613,R_IMF,811.13368
AR,c,WL,g,X,SJ,s,2013,4057.97983,4057.97983,R_IMF,2600.668007
AR,c,WL,g,X,SK,s,2013,245.203902,245.203902,R_IMF,1063.695298
AR,c,WL,g,X,SL,s,2013,192.751801,192.751801,R_IMF,201.196259
AR,c,WL,g,X,S,s,2014,13396.3718,13396.3718,R_IMF,11363.848048
AR,c,WL,g,X,SA,s,2014,4.7202,4.7202,R_IMF,24.549737
AR,c,WL,g,X,SB,s,2014,110.21,110.21,R_IMF,136.625841
AR,c,WL,g,X,SC,s,2014,2455.7372,2455.7372,R_IMF,2158.857179
AR,c,WL,g,X,SD,s,2014,4960.0451,4960.0451,R_IMF,4250.296274
AR,c,WL,g,X,SE,s,2014,2.6505,2.6505,R_IMF,40.314912
AR,c,WL,g,X,SF,s,2014,27.2837,27.2837,R_IMF,80.788812
AR,c,WL,g,X,SG,s,2014,60.1762,60.1762,R_IMF,119.251927
AR,c,WL,g,X,SH,s,2014,174.205,174.205,R_IMF,191.055864
AR,c,WL,g,X,SI,s,2014,1443.4649,1443.4649,R_IMF,612.842014
AR,c,WL,g,X,SJ,s,2014,3739.9803,3739.9803,R_IMF,2310.201775
AR,c,WL,g,X,SK,s,2014,211.3647,211.3647,R_IMF,1227.781868
AR,c,WL,g,X,SL,s,2014,206.534,206.534,R_IMF,211.281846
AR,c,WL,g,X,S,s,2015,13213.5124,13213.5124,R_IMF,11703.032493
AR,c,WL,g,X,SA,s,2015,3.0593,3.0593,R_IMF,19.313207
